w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35
NA	1	CT08	01	2019-01-23 05:32:51	00	49	03	NULL	61.432006733197	0	0	19.597778320312	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	41.07666015625	0	2019-01-23 05:32:51	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:34:15	00	40	03	NULL	61.107370446074	0	0	19.5703125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	41.56494140625	0	2019-01-23 05:34:15	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:35:27	00	30	03	NULL	60.908981603944	0	0	19.521484375	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	41.3818359375	0	2019-01-23 05:35:27	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:36:53	00	2B	03	NULL	60.812793074426	0	0	19.506225585937	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	40.83251953125	0	2019-01-23 05:36:53	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:38:18	00	25	03	NULL	60.253697246603	0	0	19.487915039062	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	40.4052734375	0	2019-01-23 05:38:18	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:39:39	00	2A	03	NULL	60.428038956354	0	0	19.503173828125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	40.4052734375	0	2019-01-23 05:39:39	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:40:52	00	38	03	NULL	60.127449801611	0	0	19.5458984375	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	40.34423828125	0	2019-01-23 05:40:52	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:42:22	00	3E	03	NULL	60.115426235421	0	0	19.564208984375	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	40.22216796875	0	2019-01-23 05:42:22	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:43:39	00	42	03	NULL	60.127449801611	0	0	19.576416015625	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	40.34423828125	0	2019-01-23 05:43:39	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2019-01-23 05:44:58	00	36	03	NULL	60.115426235421	0	0	19.539794921875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	40.8935546875	0	2019-01-23 05:44:58	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
