w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35
NA	1	CT08	01	2018-12-15 00:01:04	00	21	03	NULL	50.76109173981	0	0	19.475708007812	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.29736328125	0	2018-12-15 00:01:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:02:22	00	19	03	NULL	50.872309727065	0	0	19.451293945312	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.29736328125	0	2018-12-15 00:02:22	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:03:42	00	13	03	NULL	51.046651436816	0	0	19.432983398437	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.29736328125	0	2018-12-15 00:03:42	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:05:02	00	18	03	NULL	50.76109173981	0	0	19.4482421875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.236328125	0	2018-12-15 00:05:02	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:06:22	00	18	03	NULL	50.908380425634	0	0	19.4482421875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.1142578125	0	2018-12-15 00:06:22	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:07:42	00	15	03	NULL	50.896356859445	0	0	19.439086914062	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.236328125	0	2018-12-15 00:07:42	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:09:03	00	11	03	NULL	51.052663219911	0	0	19.426879882812	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.48046875	0	2018-12-15 00:09:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:10:22	00	0B	03	NULL	51.202957797283	0	0	19.408569335937	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.724609375	0	2018-12-15 00:10:22	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:11:42	00	01	03	NULL	51.455452687267	0	0	19.378051757812	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.78564453125	0	2018-12-15 00:11:42	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:13:03	00	F6	03	NULL	51.332211133822	0	0	19.344482421875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	43.0908203125	0	2018-12-15 00:13:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:14:22	00	EA	03	NULL	51.617770830828	0	0	19.307861328125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	43.45703125	0	2018-12-15 00:14:22	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:15:42	00	DF	03	NULL	51.759047733558	0	0	19.274291992187	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	43.27392578125	0	2018-12-15 00:15:42	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:17:04	00	DA	03	NULL	51.888301070097	0	0	19.259033203125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	43.0908203125	0	2018-12-15 00:17:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
NA	1	CT08	01	2018-12-15 00:18:23	00	CD	03	NULL	51.900324636287	0	0	19.219360351562	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	42.96875	0	2018-12-15 00:18:23	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	0	NULL
