m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2019-01-06 00:01:10	00	12	1	NA	250.99771118164	248.66023254395	249.91195678711	249.85663350423	433.13891601562	431.15148925781	434.00433349609	432.76491292318	0.34966287016869	0	0	NA	0.11655429005623	NA	NA	NA	50.073867797852	NA	NA	NA	1.3036470413208	-0.046331033110619	-0.019806565716863	-0.0061842962168157	-0.072321891784668	NA	NA	NA	0.074538961052895	0.10385813564062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:01:12	689145	2567768512	4	NA
NA	CT08	2019-01-06 00:02:29	00	12	1	NA	251.17610168457	248.81080627441	250.02143859863	250.00278218587	433.51065063477	431.3674621582	434.17510986328	433.01774088542	0.35396659374237	0	0	NA	0.11798886458079	NA	NA	NA	50.0595703125	NA	NA	NA	1.3154180049896	-0.046080697327852	-0.020009890198708	-0.0053170383907855	-0.071407623589039	NA	NA	NA	0.076034158468246	0.10430839657784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:02:31	689147	2567768512	4	NA
NA	CT08	2019-01-06 00:03:49	00	12	1	NA	251.57269287109	249.4383392334	250.48281860352	250.497950236	434.35620117188	432.32125854492	434.94769287109	433.87505086263	0.35399666428566	0	0	NA	0.11799888809522	NA	NA	NA	50.057559967041	NA	NA	NA	1.3045920133591	-0.046398397535086	-0.021747713908553	-0.0054132575169206	-0.073559366166592	NA	NA	NA	0.076014086604118	0.10577864199877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:03:51	689149	2567768512	4	NA
NA	CT08	2019-01-06 00:05:11	00	12	1	NA	251.90194702148	249.80520629883	250.84217834473	250.84977722168	434.91979980469	432.93737792969	435.5966796875	434.48461914062	0.35215574502945	0	0	NA	0.11738524834315	NA	NA	NA	50.058692932129	NA	NA	NA	1.2932770252228	-0.047159198671579	-0.020692178979516	-0.0072018960490823	-0.0750532746315	NA	NA	NA	0.075134851038456	0.10619905591011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:05:12	689150	2567768512	4	NA
NA	CT08	2019-01-06 00:06:29	00	12	1	NA	251.71492004395	249.64630126953	250.83534240723	250.7321879069	434.60214233398	432.9241027832	435.31622314453	434.28082275391	0.35377913713455	0	0	NA	0.11792637904485	NA	NA	NA	50.05158996582	NA	NA	NA	1.29909491539	-0.046622525900602	-0.021585829555988	-0.0063496856018901	-0.074558034539223	NA	NA	NA	0.075871653854847	0.10637390613556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:06:31	689152	2567768512	4	NA
NA	CT08	2019-01-06 00:07:50	00	12	1	NA	251.3500213623	249.27784729004	250.26123046875	250.2963663737	434.08200073242	432.04284667969	434.45367431641	433.52617390951	0.3569683432579	0	0	NA	0.11898944775263	NA	NA	NA	50.028495788574	NA	NA	NA	1.2968599796295	-0.047108445316553	-0.021682636812329	-0.0067215929739177	-0.075512677431107	NA	NA	NA	0.07636222243309	0.10739345103502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:07:51	689154	2567768512	4	NA
NA	CT08	2019-01-06 00:09:10	00	12	1	NA	251.12771606445	249.00535583496	250.15782165527	250.09696451823	433.58236694336	431.74526977539	434.21432495117	433.18065388997	0.34926784038544	0	0	NA	0.11642261346181	NA	NA	NA	50.037132263184	NA	NA	NA	1.2909409999847	-0.046084959059954	-0.022143248468637	-0.0068137152120471	-0.075041919946671	NA	NA	NA	0.074628196656704	0.105833157897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:09:12	689155	2567768512	4	NA
NA	CT08	2019-01-06 00:10:29	00	12	1	NA	251.42373657227	249.3532409668	250.42599487305	250.40099080404	434.17190551758	432.26513671875	434.68341064453	433.70681762695	0.35017827153206	0	0	NA	0.11672609051069	NA	NA	NA	50.047847747803	NA	NA	NA	1.3034639358521	-0.045590694993734	-0.021179473027587	-0.0063467044383287	-0.07311686873436	NA	NA	NA	0.075319863855839	0.10497218370438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:10:32	689157	2567768512	4	NA
NA	CT08	2019-01-06 00:11:50	00	12	1	NA	251.33714294434	249.32130432129	250.36251831055	250.34032185872	434.10073852539	432.22476196289	434.48071289062	433.6020711263	0.35397067666054	0	0	NA	0.11799022555351	NA	NA	NA	50.052421569824	NA	NA	NA	1.3026930093765	-0.04613146930933	-0.021593935787678	-0.0062799686565995	-0.074005372822285	NA	NA	NA	0.076071247458458	0.1061302497983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:11:51	689158	2567768512	4	NA
NA	CT08	2019-01-06 00:13:11	00	12	1	NA	251.50148010254	249.44032287598	250.39610290527	250.44596862793	434.37701416016	432.28298950195	434.6936340332	433.78454589844	0.35584038496017	0	0	NA	0.11861346165339	NA	NA	NA	50.063022613525	NA	NA	NA	1.2935879230499	-0.047061778604984	-0.021887708455324	-0.0070222360081971	-0.075971730053425	NA	NA	NA	0.076121181249619	0.107545979321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-06 00:13:12	689160	2567768512	4	NA
