m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2019-01-13 00:00:32	00	12	1	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NA	NULL	NA	NA	NA	NULL	NA	NA	NA	NULL	NULL	NULL	NULL	NULL	NA	NA	NA	NULL	NULL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:00:33	697101	2594638185	4	NA
NA	CT08	2019-01-13 00:01:46	00	12	1	NA	248.84899902344	246.62467956543	248.11212158203	247.8619333903	429.79977416992	427.59481811523	430.53207397461	429.30888875326	0.35852915048599	0	0	NA	0.11950971682866	NA	NA	NA	50.061504364014	NA	NA	NA	1.3075449466705	-0.045900337398052	-0.021159457042813	-0.0063711977563798	-0.073430992662907	NA	NA	NA	0.076506860554218	0.10604438185692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:01:51	697103	2594638185	4	NA
NA	CT08	2019-01-13 00:03:08	00	12	1	NA	249.44017028809	247.12866210938	248.68359375	248.41747538249	430.67077636719	428.44952392578	431.69302368164	430.27110799154	0.36603203415871	0	0	NA	0.1220106780529	NA	NA	NA	50.059604644775	NA	NA	NA	1.3056099414825	-0.046946205198765	-0.021371124312282	-0.0072484472766519	-0.075565777719021	NA	NA	NA	0.078309059143066	0.10882323235273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:04:25	697106	2594638185	4	NA
NA	CT08	2019-01-13 00:05:49	00	12	1	NA	249.47431945801	247.26696777344	249.02461242676	248.5886332194	430.59909057617	429.00942993164	432.09481811523	430.56777954102	0.35628804564476	0	0	NA	0.11876268188159	NA	NA	NA	49.997982025146	NA	NA	NA	1.3009489774704	-0.046032324433327	-0.021369233727455	-0.006931206677109	-0.074332766234875	NA	NA	NA	0.076036296784878	0.10633380711079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:05:52	697108	2594638185	4	NA
NA	CT08	2019-01-13 00:07:52	00	12	1	NA	249.27346801758	247.19850158691	248.54043579102	248.33746846517	430.591796875	428.43566894531	431.3701171875	430.13252766927	0.3526930809021	0	0	NA	0.1175643603007	NA	NA	NA	50.021747589111	NA	NA	NA	1.2986490726471	-0.0454241335392	-0.021535463631153	-0.007102835457772	-0.074062429368496	NA	NA	NA	0.075273185968399	0.10559969395399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:07:56	697111	2594638185	4	NA
NA	CT08	2019-01-13 00:10:34	00	12	1	NA	249.37495422363	247.2326965332	248.63623046875	248.4146270752	430.58810424805	428.53237915039	431.6784362793	430.26630655924	0.34407684206963	0	0	NA	0.11469228068988	NA	NA	NA	49.978858947754	NA	NA	NA	1.3007290363312	-0.044414225965738	-0.020939597859979	-0.0064603229984641	-0.071814149618149	NA	NA	NA	0.073414772748947	0.10269859433174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:10:39	697114	2594638185	4	NA
NA	CT08	2019-01-13 00:11:56	00	12	1	NA	248.83807373047	246.78457641602	248.06451416016	247.89572143555	429.86340332031	427.67135620117	430.56726074219	429.36734008789	0.36116555333138	0	0	NA	0.12038851777713	NA	NA	NA	50.016860961914	NA	NA	NA	1.3040850162506	-0.046664100140333	-0.022289302200079	-0.0054786177352071	-0.074432022869587	NA	NA	NA	0.076807498931885	0.10695568472147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:12:00	697115	2594638185	4	NA
NA	CT08	2019-01-13 00:13:12	00	12	1	NA	249.0750579834	247.18447875977	248.34796142578	248.20249938965	430.39495849609	428.26544189453	431.03466796875	429.89835611979	0.35674545168877	0	0	NA	0.11891515056292	NA	NA	NA	50.035537719727	NA	NA	NA	1.3031970262527	-0.04614282399416	-0.022097419947386	-0.0055298749357462	-0.073770113289356	NA	NA	NA	0.075936146080494	0.10586939007044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:13:16	697117	2594638185	4	NA
NA	CT08	2019-01-13 00:13:12	00	12	1	NA	249.0750579834	247.18447875977	248.34796142578	248.20249938965	430.39495849609	428.26544189453	431.03466796875	429.89835611979	0.35674545168877	0	0	NA	0.11891515056292	NA	NA	NA	50.035537719727	NA	NA	NA	1.3031970262527	-0.04614282399416	-0.022097419947386	-0.0055298749357462	-0.073770113289356	NA	NA	NA	0.075936146080494	0.10586939007044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:14:42	697119	2594638185	4	NA
NA	CT08	2019-01-13 00:16:00	00	12	1	NA	249.10507202148	246.77851867676	248.24368286133	248.04242451986	430.00152587891	427.67001342773	431.19296264648	429.62150065104	0.35715666413307	0	0	NA	0.11905222137769	NA	NA	NA	50.071334838867	NA	NA	NA	1.2966740131378	-0.047244910150766	-0.020697606727481	-0.0066467826254666	-0.074589297175407	NA	NA	NA	0.075388975441456	0.10605216026306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-13 00:16:04	697120	2594638185	4	NA
