m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2019-01-08 00:00:42	00	12	1	NA	249.80055236816	247.66738891602	248.93942260742	248.80245463053	431.57827758789	429.03967285156	432.19448852539	430.93747965495	0.36048653721809	0	0	NA	0.1201621790727	NA	NA	NA	50.089492797852	NA	NA	NA	1.2999460697174	-0.046894375234842	-0.021290741860867	-0.0071796393021941	-0.075364761054516	NA	NA	NA	0.076875694096088	0.10765555500984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:00:44	691458	2575409497	4	NA
NA	CT08	2019-01-08 00:02:03	00	12	1	NA	249.67658996582	247.58573913574	248.89445495605	248.71892801921	431.36285400391	428.97024536133	432.04586791992	430.79298909505	0.36233234405518	0	0	NA	0.12077744801839	NA	NA	NA	50.090938568115	NA	NA	NA	1.3036400079727	-0.047119919210672	-0.021241299808025	-0.0065689636394382	-0.074930183589458	NA	NA	NA	0.077225595712662	0.10760262608528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:02:05	691459	2575409497	4	NA
NA	CT08	2019-01-08 00:03:22	00	12	1	NA	249.98622131348	247.73150634766	249.20690917969	248.97487894694	431.73751831055	429.33306884766	432.63940429688	431.23666381836	0.35655653476715	0	0	NA	0.11885217825572	NA	NA	NA	50.090293884277	NA	NA	NA	1.3002650737762	-0.046451766043901	-0.020574610680342	-0.0074851159006357	-0.074511490762234	NA	NA	NA	0.07607327401638	0.10648524016142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:03:24	691461	2575409497	4	NA
NA	CT08	2019-01-08 00:04:42	00	12	1	NA	250.21188354492	247.9066619873	249.44766235352	249.18873596191	432.03775024414	429.6794128418	433.10330200195	431.60682169596	0.3595252931118	0	0	NA	0.1198417643706	NA	NA	NA	50.055686950684	NA	NA	NA	1.301609992981	-0.04632181301713	-0.020998910069466	-0.0079268720000982	-0.075247593224049	NA	NA	NA	0.077114477753639	0.10774433612823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:04:43	691463	2575409497	4	NA
NA	CT08	2019-01-08 00:06:03	00	12	1	NA	250.51434326172	248.46115112305	249.6780090332	249.55116780599	432.82699584961	430.40444946289	433.47235107422	432.23459879557	0.35709488391876	0	0	NA	0.11903162797292	NA	NA	NA	50.038452148438	NA	NA	NA	1.2992949485779	-0.04688161984086	-0.02129871584475	-0.0066473921760917	-0.07482773065567	NA	NA	NA	0.076188832521439	0.10678917169571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:06:05	691464	2575409497	4	NA
NA	CT08	2019-01-08 00:07:22	00	12	1	NA	250.3874206543	248.52201843262	249.64064025879	249.51669311523	432.76733398438	430.50802612305	433.24923706055	432.17486572266	0.35230803489685	0	0	NA	0.11743601163228	NA	NA	NA	49.998046875	NA	NA	NA	1.3009740114212	-0.045341406017542	-0.021483970806003	-0.0071429396048188	-0.073968313634396	NA	NA	NA	0.07566887140274	0.10581630468369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:07:23	691466	2575409497	4	NA
NA	CT08	2019-01-08 00:08:42	00	12	1	NA	250.07737731934	248.23281860352	249.1964263916	249.16887410482	432.34497070312	429.84213256836	432.52963256836	431.57224527995	0.36041447520256	0	0	NA	0.12013815840085	NA	NA	NA	49.995990753174	NA	NA	NA	1.3152149915695	-0.045818775892258	-0.021544521674514	-0.0055711418390274	-0.072934441268444	NA	NA	NA	0.077616542577744	0.10650709271431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:08:43	691467	2575409497	4	NA
NA	CT08	2019-01-08 00:10:01	00	12	1	NA	249.51428222656	247.43817138672	248.88102722168	248.61116027832	430.93786621094	428.9225769043	431.95922851562	430.60655721029	0.34287479519844	0	0	NA	0.11429159839948	NA	NA	NA	49.983489990234	NA	NA	NA	1.2933740615845	-0.044719189405441	-0.020170670002699	-0.0079450253397226	-0.072834886610508	NA	NA	NA	0.072933994233608	0.10307418555021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:10:05	691469	2575409497	4	NA
NA	CT08	2019-01-08 00:11:21	00	12	1	NA	249.44744873047	247.08193969727	248.62045288086	248.3832804362	430.61233520508	428.25021362305	431.7727355957	430.21176147461	0.35377779603004	0	0	NA	0.11792593201001	NA	NA	NA	49.962413787842	NA	NA	NA	1.2920489311218	-0.046947792172432	-0.020207041874528	-0.007748746778816	-0.074903577566147	NA	NA	NA	0.074724733829498	0.10580326616764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:11:23	691471	2575409497	4	NA
NA	CT08	2019-01-08 00:12:41	00	12	1	NA	249.12115478516	246.93556213379	248.40505981445	248.1539255778	430.20684814453	428.02404785156	431.21310424805	429.81466674805	0.35641726851463	0	0	NA	0.11880575617154	NA	NA	NA	49.950977325439	NA	NA	NA	1.2915699481964	-0.046859733760357	-0.021499512717128	-0.0073427832685411	-0.075702033936977	NA	NA	NA	0.07541897892952	0.10685887932777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-01-08 00:12:43	691472	2575409497	4	NA
