m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2018-12-08 00:00:05	00	12	1	NA	247.82646179199	245.41152954102	247.05378723145	246.76392618815	427.70361328125	425.36480712891	429.15277099609	427.40706380208	0.36674895882607	0	0	NA	0.12224965294202	NA	NA	NA	50.10018157959	NA	NA	NA	1.301276922226	NULL	NULL	NULL	-0.075521029531956	NA	NA	NA	0.077322691679001	0.10808433592319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:00:08	655176	2445762761	4	NA
NA	CT08	2018-12-08 00:01:24	00	12	1	NA	247.24690246582	244.82916259766	246.47560119629	246.18388875326	426.77758789062	424.37521362305	428.05493164062	426.4025777181	0.36591866612434	0	0	NA	0.12197288870811	NA	NA	NA	50.09725189209	NA	NA	NA	1.3017129898071	-0.047420807182789	-0.02065821737051	-0.0070825624279678	-0.075161583721638	NA	NA	NA	0.077048659324646	0.10763716697693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:01:26	655178	2445762761	4	NA
NA	CT08	2018-12-08 00:02:44	00	12	1	NA	248.02914428711	245.46882629395	247.20338439941	246.90045166016	427.96762084961	425.48623657227	429.47671508789	427.64352416992	0.36032685637474	0	0	NA	0.12010895212491	NA	NA	NA	50.112621307373	NA	NA	NA	1.295774936676	-0.047301884740591	-0.019925443455577	-0.0079858284443617	-0.07521315664053	NA	NA	NA	0.075827486813068	0.10680274665356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:02:46	655180	2445762761	4	NA
NA	CT08	2018-12-08 00:04:05	00	12	1	NA	247.73498535156	245.30285644531	247.0923614502	246.71006774902	427.52368164062	425.33743286133	429.08084106445	427.3139851888	0.36492094397545	0	0	NA	0.12164031465848	NA	NA	NA	50.077308654785	NA	NA	NA	1.3113520145416	-0.046703524887562	-0.020655686035752	-0.006155445240438	-0.07351465523243	NA	NA	NA	0.077405467629433	0.10675210505724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:04:07	655182	2445762761	4	NA
NA	CT08	2018-12-08 00:05:24	00	12	1	NA	247.72654724121	245.24673461914	246.98764038086	246.65364074707	427.52285766602	425.15518188477	428.97122192383	427.21642049154	0.36415669322014	0	0	NA	0.12138556440671	NA	NA	NA	50.062313079834	NA	NA	NA	1.3107190132141	-0.04675030708313	-0.020037554204464	-0.0066146301105618	-0.073402494192123	NA	NA	NA	0.077152334153652	0.10649135708809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:05:26	655183	2445762761	4	NA
NA	CT08	2018-12-08 00:06:44	00	12	1	NA	247.81407165527	245.51153564453	246.86175537109	246.7291208903	427.95700073242	425.20623779297	428.87670898438	427.34664916992	0.35282430052757	0	0	NA	0.11760810017586	NA	NA	NA	50.03369140625	NA	NA	NA	1.293035030365	-0.046273309737444	-0.019431302323937	-0.008452027104795	-0.074156641960144	NA	NA	NA	0.074186459183693	0.10489441454411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:06:46	655185	2445762761	4	NA
NA	CT08	2018-12-08 00:08:05	00	12	1	NA	247.63816833496	245.21743774414	246.87936401367	246.57832336426	427.41577148438	425.03204345703	428.8098449707	427.08588663737	0.35427340865135	0	0	NA	0.11809113621712	NA	NA	NA	49.993614196777	NA	NA	NA	1.2952200174332	-0.04637698084116	-0.019841758534312	-0.0077651971951127	-0.073983937501907	NA	NA	NA	0.074471563100815	0.10497445613146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:08:07	655186	2445762761	4	NA
NA	CT08	2018-12-08 00:09:24	00	12	1	NA	248.05595397949	245.73867797852	247.19952392578	246.99805196126	428.26162719727	425.77136230469	429.40408325195	427.81235758464	0.35862255096436	0	0	NA	0.11954085032145	NA	NA	NA	49.997367858887	NA	NA	NA	1.2948660850525	-0.0474185757339	-0.019091980531812	-0.0083380043506622	-0.074848562479019	NA	NA	NA	0.075266763567924	0.10614797472954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:09:26	655188	2445762761	4	NA
NA	CT08	2018-12-08 00:10:44	00	12	1	NA	247.81797790527	245.53514099121	246.95626831055	246.76979573568	427.99468994141	425.4176940918	428.83883666992	427.41707356771	0.35961931943893	0	0	NA	0.11987310647964	NA	NA	NA	50.008979797363	NA	NA	NA	1.307874917984	-0.046025037765503	-0.019146304577589	-0.0080092390999198	-0.073180586099625	NA	NA	NA	0.076315753161907	0.10573311895132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:10:45	655190	2445762761	4	NA
NA	CT08	2018-12-08 00:12:04	00	12	1	NA	247.6375579834	245.27731323242	246.80220031738	246.57235717773	427.57144165039	425.04244995117	428.61120605469	427.07503255208	0.35575008392334	0	0	NA	0.11858336130778	NA	NA	NA	49.964500427246	NA	NA	NA	1.2849320173264	-0.0478650406003	-0.019512169063091	-0.0082767233252525	-0.075653932988644	NA	NA	NA	0.073959678411484	0.10579957813025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-08 00:12:06	655191	2445762761	4	NA
