m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2018-12-27 00:00:11	00	12	1	NA	249.95523071289	247.67108154297	249.02030944824	248.8822072347	431.64993286133	429.03298950195	432.54379272461	431.07557169596	0.36676573753357	0	0	NA	0.12225524584452	NA	NA	NA	50.077968597412	NA	NA	NA	1.3028929233551	NULL	NULL	NULL	-0.075869232416153	NA	NA	NA	0.07803076505661	0.10883446037769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:00:13	677522	2527206914	4	NA
NA	CT08	2018-12-27 00:02:20	00	12	1	NA	249.47038269043	247.09777832031	248.71826171875	248.4288075765	430.62707519531	428.34576416016	431.89932250977	430.29072062174	0.37194249033928	0	0	NA	0.12398083011309	NA	NA	NA	50.050327301025	NA	NA	NA	1.3113460540771	-0.047691214829683	-0.021358011290431	-0.0065456028096378	-0.075594827532768	NA	NA	NA	0.07959446310997	0.10977184027433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:02:22	677524	2527206914	4	NA
NA	CT08	2018-12-27 00:03:40	00	12	1	NA	250.02119445801	247.9168548584	249.30439758301	249.08081563314	431.85751342773	429.68426513672	432.71798706055	431.419921875	0.36685791611671	0	0	NA	0.1222859720389	NA	NA	NA	50.041091918945	NA	NA	NA	1.3264390230179	-0.046279713511467	-0.019531980156898	-0.0063537741079926	-0.072165466845036	NA	NA	NA	0.079190649092197	0.10714016109705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:03:42	677526	2527206914	4	NA
NA	CT08	2018-12-27 00:05:00	00	12	1	NA	249.8058013916	247.89910888672	248.90361022949	248.86950683594	431.75991821289	429.24420166016	432.15740966797	431.05384318034	0.36683985590935	0	0	NA	0.12227995196978	NA	NA	NA	49.981426239014	NA	NA	NA	1.2988839149475	-0.04854142293334	-0.021268256008625	-0.0066161034628749	-0.076425775885582	NA	NA	NA	0.077726356685162	0.10900589823723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:05:02	677528	2527206914	4	NA
NA	CT08	2018-12-27 00:06:21	00	12	1	NA	249.91189575195	247.81637573242	248.94396972656	248.89074707031	431.73822021484	429.12646484375	432.40811157227	431.09093221029	0.3557970225811	0	0	NA	0.11859900752703	NA	NA	NA	49.958755493164	NA	NA	NA	1.3011009693146	-0.046462532132864	-0.020703842863441	-0.0069167651236057	-0.074083134531975	NA	NA	NA	0.075813114643097	0.10599971562624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:06:22	677529	2527206914	4	NA
NA	CT08	2018-12-27 00:07:40	00	12	1	NA	248.60243225098	246.26249694824	247.99212646484	247.61901855469	429.03698730469	427.02951049805	430.59902954102	428.88850911458	0.35897189378738	0	0	NA	0.11965729792913	NA	NA	NA	49.970405578613	NA	NA	NA	1.3042199611664	-0.046068735420704	-0.020684344694018	-0.0072862873785198	-0.074039369821548	NA	NA	NA	0.076430879533291	0.10641197115183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:07:42	677531	2527206914	4	NA
NA	CT08	2018-12-27 00:09:00	00	12	1	NA	248.91328430176	246.51292419434	248.27070617676	247.89897155762	429.60223388672	427.48797607422	431.02886962891	429.37302652995	0.3620825111866	0	0	NA	0.12069417039553	NA	NA	NA	50.002052307129	NA	NA	NA	1.3066239356995	-0.047100152820349	-0.020208923146129	-0.0066309235990047	-0.073939993977547	NA	NA	NA	0.076840594410896	0.10663770139217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:09:03	677533	2527206914	4	NA
NA	CT08	2018-12-27 00:10:21	00	12	1	NA	248.68453979492	246.20936584473	248.00189208984	247.6319325765	429.07147216797	426.95050048828	430.70986938477	428.91061401367	0.3647922873497	0	0	NA	0.12159742911657	NA	NA	NA	49.985774993896	NA	NA	NA	1.308552980423	-0.046795088797808	-0.020754586905241	-0.0068349419161677	-0.074384614825249	NA	NA	NA	0.077717512845993	0.10757826268673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:10:22	677534	2527206914	4	NA
NA	CT08	2018-12-27 00:11:41	00	12	1	NA	248.39993286133	246.12771606445	247.71046447754	247.41270446777	428.830078125	426.72265625	430.04092407227	428.53121948242	0.36435267329216	0	0	NA	0.12145089109739	NA	NA	NA	49.972431182861	NA	NA	NA	1.3146020174026	-0.046675570309162	-0.020201647654176	-0.0061091613024473	-0.072986379265785	NA	NA	NA	0.077540822327137	0.1064875125885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:11:42	677536	2527206914	4	NA
NA	CT08	2018-12-27 00:13:01	00	12	1	NA	248.66244506836	246.55989074707	247.89503479004	247.70579020182	429.52398681641	427.25894165039	430.3310546875	429.03799438477	0.36346346139908	0	0	NA	0.12115448713303	NA	NA	NA	49.999622344971	NA	NA	NA	1.3035039901733	-0.047484941780567	-0.020684750750661	-0.0064732865430415	-0.074642978608608	NA	NA	NA	0.076900407671928	0.10716924071312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-27 00:13:03	677537	2527206914	4	NA
