m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2018-12-06 00:00:40	00	12	1	NA	250.0581817627	247.8812713623	249.15243530273	249.03062947591	431.93792724609	429.29644775391	432.76565551758	431.33334350586	0.35261896252632	0	0	NA	0.11753965417544	NA	NA	NA	50.025909423828	NA	NA	NA	1.2978889942169	NULL	NULL	NULL	-0.073764815926552	NA	NA	NA	0.074810817837715	0.10506144165993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:00:42	652818	2437474749	4	NA
NA	CT08	2018-12-06 00:02:00	00	12	1	NA	249.94660949707	247.81790161133	249.12748718262	248.96399943034	431.8112487793	429.28961181641	432.55200195312	431.21762084961	0.35690048336983	0	0	NA	0.11896682778994	NA	NA	NA	50.003829956055	NA	NA	NA	1.3063780069351	-0.045939039438963	-0.020274458453059	-0.0074180574156344	-0.073631554841995	NA	NA	NA	0.076467804610729	0.10615521669388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:02:02	652820	2437474749	4	NA
NA	CT08	2018-12-06 00:03:20	00	12	1	NA	250.22927856445	247.77578735352	249.32669067383	249.1105855306	431.91058349609	429.26873779297	433.2356262207	431.47164916992	0.35539507865906	0	0	NA	0.11846502621969	NA	NA	NA	49.984951019287	NA	NA	NA	1.3025590181351	-0.046764146536589	-0.019612804055214	-0.0072382497601211	-0.073615200817585	NA	NA	NA	0.075641945004463	0.10555046796799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:03:22	652821	2437474749	4	NA
NA	CT08	2018-12-06 00:04:40	00	12	1	NA	248.86782836914	246.32574462891	248.06793212891	247.75383504232	429.47583007812	427.04318237305	430.84582519531	429.12161254883	0.36044508218765	0	0	NA	0.12014836072922	NA	NA	NA	49.967144012451	NA	NA	NA	1.2978870868683	-0.047395177185535	-0.019303184002638	-0.0083973184227943	-0.075095675885677	NA	NA	NA	0.076160088181496	0.10695663094521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:04:41	652823	2437474749	4	NA
NA	CT08	2018-12-06 00:06:00	00	12	1	NA	249.43110656738	247.12734985352	248.48406982422	248.34750874837	430.70043945312	428.06661987305	431.68243408203	430.14983113607	0.36561796069145	0	0	NA	0.12187265356382	NA	NA	NA	49.972270965576	NA	NA	NA	1.2955639362335	-0.048292443156242	-0.02081292308867	-0.0076740821823478	-0.076779447495937	NA	NA	NA	0.077360451221466	0.10899414122105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:06:01	652825	2437474749	4	NA
NA	CT08	2018-12-06 00:07:19	00	12	1	NA	249.17094421387	247.04145812988	248.34483337402	248.18574523926	430.41247558594	427.94403076172	431.25180053711	429.86943562826	0.36573207378387	0	0	NA	0.12191069126129	NA	NA	NA	49.943363189697	NA	NA	NA	1.3146460056305	-0.046432185918093	-0.020532703027129	-0.0068339114077389	-0.073798798024654	NA	NA	NA	0.078413613140583	0.10767988115549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:07:21	652826	2437474749	4	NA
NA	CT08	2018-12-06 00:08:39	00	12	1	NA	249.15631103516	246.96318054199	248.36918640137	248.16289265951	430.29458618164	427.90533447266	431.28970336914	429.82987467448	0.36331695318222	0	0	NA	0.12110565106074	NA	NA	NA	49.950241088867	NA	NA	NA	1.3025360107422	-0.046891272068024	-0.020969770848751	-0.0075001437216997	-0.075361184775829	NA	NA	NA	0.077431067824364	0.10805035382509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:08:42	652828	2437474749	4	NA
NA	CT08	2018-12-06 00:10:00	00	12	1	NA	248.96745300293	246.68998718262	248.15975952148	247.93906656901	429.90536499023	427.46084594727	430.96151733398	429.44257609049	0.35915467143059	0	0	NA	0.1197182238102	NA	NA	NA	49.922412872314	NA	NA	NA	1.3053319454193	-0.045750755816698	-0.020015578716993	-0.0084268385544419	-0.074193172156811	NA	NA	NA	0.076827175915241	0.10680375248194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:10:01	652830	2437474749	4	NA
NA	CT08	2018-12-06 00:11:20	00	12	1	NA	249.45120239258	246.93914794922	248.78581237793	248.39205423991	430.37707519531	428.15032958984	432.15512084961	430.22750854492	0.35916402935982	0	0	NA	0.11972134311994	NA	NA	NA	49.95597076416	NA	NA	NA	1.2894970178604	-0.04743256047368	-0.020004771649837	-0.0093060387298465	-0.076743371784687	NA	NA	NA	0.076008021831512	0.1080127954483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:11:21	652831	2437474749	4	NA
NA	CT08	2018-12-06 00:12:40	00	12	1	NA	249.7488861084	247.13647460938	248.99768066406	248.62768046061	430.76358032227	428.42874145508	432.71350097656	430.6352742513	0.36101990938187	0	0	NA	0.12033996979396	NA	NA	NA	49.951522827148	NA	NA	NA	1.2895600795746	-0.048330679535866	-0.019718861207366	-0.0087898159399629	-0.076839357614517	NA	NA	NA	0.076116681098938	0.10815746337175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-06 00:12:41	652833	2437474749	4	NA
