m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2018-12-04 00:00:35	00	12	1	NA	250.3917388916	247.75025939941	249.71934509277	249.28711446126	431.87167358398	429.71286010742	433.74905395508	431.77786254883	0.36880818009377	0	0	NA	0.12293606003126	NA	NA	NA	50.068672180176	NA	NA	NA	1.3126009702682	NULL	NULL	NULL	-0.074749685823917	NA	NA	NA	0.078977756202221	0.10874281823635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:00:37	650409	2430668216	4	NA
NA	CT08	2018-12-04 00:01:55	00	12	1	NA	249.64060974121	246.9592590332	248.87973022461	248.49319966634	430.66940307617	428.28622436523	432.25238037109	430.40266927083	0.36574277281761	0	0	NA	0.12191425760587	NA	NA	NA	50.049789428711	NA	NA	NA	1.3019499778748	-0.048211637884378	-0.020904581993818	-0.0064725768752396	-0.075588800013065	NA	NA	NA	0.077537752687931	0.10828559845686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:01:56	650410	2430668216	4	NA
NA	CT08	2018-12-04 00:03:15	00	12	1	NA	249.93223571777	247.61303710938	248.96948242188	248.83825174967	431.60034179688	428.88824462891	432.50979614258	430.99946085612	0.36501377820969	0	0	NA	0.12167125940323	NA	NA	NA	50.01672744751	NA	NA	NA	1.3035420179367	-0.046811301261187	-0.021867768839002	-0.0073172696866095	-0.075996339321136	NA	NA	NA	0.078303128480911	0.10911838710308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:03:16	650412	2430668216	4	NA
NA	CT08	2018-12-04 00:04:35	00	12	1	NA	250.41436767578	248.35008239746	249.57556152344	249.44667053223	432.60546875	430.12475585938	433.43011474609	432.05344645182	0.36731240153313	0	0	NA	0.12243746717771	NA	NA	NA	49.966320037842	NA	NA	NA	1.306657075882	-0.047676902264357	-0.020804161205888	-0.0072021130472422	-0.075683176517487	NA	NA	NA	0.078659318387508	0.10915691405535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:04:36	650414	2430668216	4	NA
NA	CT08	2018-12-04 00:05:55	00	12	1	NA	250.23495483398	247.93524169922	249.38897705078	249.18639119466	432.1784362793	429.6081237793	433.02185058594	431.60280354818	0.36779308319092	0	0	NA	0.12259769439697	NA	NA	NA	49.980812072754	NA	NA	NA	1.3146059513092	-0.046828523278236	-0.021293222904205	-0.0064542363397777	-0.074575982987881	NA	NA	NA	0.07923049479723	0.10880739241838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:05:56	650415	2430668216	4	NA
NA	CT08	2018-12-04 00:07:14	00	12	1	NA	250.26840209961	247.84246826172	249.29537963867	249.13541666667	432.08016967773	429.33880615234	433.12503051758	431.51466878255	0.36510202288628	0	0	NA	0.12170067429543	NA	NA	NA	49.984970092773	NA	NA	NA	1.3110899925232	-0.047272078692913	-0.021555330604315	-0.0054908320307732	-0.074318237602711	NA	NA	NA	0.078195057809353	0.10787802189589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:07:16	650417	2430668216	4	NA
NA	CT08	2018-12-04 00:08:34	00	12	1	NA	249.86778259277	247.51823425293	248.99787902832	248.79463195801	431.45928955078	428.86462402344	432.44888305664	430.92426554362	0.36412048339844	0	0	NA	0.12137349446615	NA	NA	NA	49.966129302979	NA	NA	NA	1.3107190132141	-0.047016404569149	-0.020088335499167	-0.0070015196688473	-0.074106261134148	NA	NA	NA	0.07789209485054	0.10751239955425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:08:36	650419	2430668216	4	NA
NA	CT08	2018-12-04 00:09:54	00	12	1	NA	249.85473632812	247.63381958008	249.03062438965	248.83972676595	431.53305053711	429.04229736328	432.43310546875	431.00281778971	0.36226877570152	0	0	NA	0.12075625856717	NA	NA	NA	49.976627349854	NA	NA	NA	1.3082439899445	-0.046556275337934	-0.020873840898275	-0.0069282157346606	-0.074358329176903	NA	NA	NA	0.077623456716537	0.10749214887619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:09:56	650420	2430668216	4	NA
NA	CT08	2018-12-04 00:11:14	00	12	1	NA	250.29550170898	248.18070983887	249.39561462402	249.29060872396	432.38278198242	429.80572509766	433.16152954102	431.78334554036	0.36134877800941	0	0	NA	0.1204495926698	NA	NA	NA	49.959300994873	NA	NA	NA	1.3030999898911	-0.047542076557875	-0.021449951454997	-0.0057741282507777	-0.074766151607037	NA	NA	NA	0.076940648257732	0.10728392750025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:11:15	650422	2430668216	4	NA
NA	CT08	2018-12-04 00:13:26	00	12	1	NA	250.11828613281	247.83728027344	249.30378723145	249.08645121257	431.82073974609	429.35766601562	433.1116027832	431.43000284831	0.35853940248489	0	0	NA	0.11951313416163	NA	NA	NA	49.956748962402	NA	NA	NA	1.3035320043564	-0.04687337204814	-0.020226743072271	-0.0071017458103597	-0.074201859533787	NA	NA	NA	0.076451927423477	0.10654018819332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:13:27	650425	2430668216	4	NA
NA	CT08	2018-12-04 00:14:46	00	12	1	NA	250.2979888916	248.02198791504	249.60687255859	249.30894978841	432.01672363281	429.85925292969	433.57034301758	431.81543986003	0.36041867733002	0	0	NA	0.12013955911001	NA	NA	NA	49.945377349854	NA	NA	NA	1.2977540493011	-0.047325275838375	-0.02116204239428	-0.0072694830596447	-0.075756803154945	NA	NA	NA	0.076801925897598	0.10787784308195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-04 00:14:47	650426	2430668216	4	NA
