m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67
NA	CT08	2018-12-15 00:00:59	00	12	1	NA	249.00454711914	246.87728881836	247.93803405762	247.93995666504	430.35284423828	427.43472290039	430.54257202148	429.44337972005	0.37000831961632	0	0	NA	0.12333610653877	NA	NA	NA	50.047729492188	NA	NA	NA	1.3114830255508	NULL	NULL	NULL	-0.074955053627491	NA	NA	NA	0.078950725495815	0.10886449366808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:01:00	663381	2474436623	4	NA
NA	CT08	2018-12-15 00:02:19	00	12	1	NA	248.49900817871	246.21492004395	247.66494750977	247.45962524414	429.18124389648	426.66583251953	429.9875793457	428.61155192057	0.36767023801804	0	0	NA	0.12255674600601	NA	NA	NA	50.03759765625	NA	NA	NA	1.3046429157257	-0.048068109899759	-0.019754230976105	-0.0073567642830312	-0.075179100036621	NA	NA	NA	0.077699080109596	0.10811588168144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:02:20	663383	2474436623	4	NA
NA	CT08	2018-12-15 00:03:39	00	12	1	NA	248.89254760742	246.66249084473	248.05754089355	247.8708597819	429.87884521484	427.39126586914	430.70111083984	429.32374064128	0.36453387141228	0	0	NA	0.12151129047076	NA	NA	NA	50.017227172852	NA	NA	NA	1.3131139278412	-0.046673376113176	-0.019954079762101	-0.0069073988124728	-0.073534853756428	NA	NA	NA	0.077804155647755	0.10705541074276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:03:40	663384	2474436623	4	NA
NA	CT08	2018-12-15 00:04:59	00	12	1	NA	248.86476135254	246.74209594727	247.89723205566	247.83469645182	430.00183105469	427.31475830078	430.46728515625	429.26129150391	0.36957252025604	0	0	NA	0.12319084008535	NA	NA	NA	50.018619537354	NA	NA	NA	1.3002140522003	-0.048258889466524	-0.021309278905392	-0.0071309637278318	-0.076699137687683	NA	NA	NA	0.078295715153217	0.10960372537374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:05:00	663386	2474436623	4	NA
NA	CT08	2018-12-15 00:06:18	00	12	1	NA	249.28121948242	247.23329162598	248.38610839844	248.30020650228	430.74359130859	428.19909667969	431.26031494141	430.06766764323	0.36189967393875	0	0	NA	0.12063322464625	NA	NA	NA	50.001617431641	NA	NA	NA	1.3148460388184	-0.045991186052561	-0.020765027031302	-0.0062474887818098	-0.073003701865673	NA	NA	NA	0.077611334621906	0.10655073821545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:06:20	663388	2474436623	4	NA
NA	CT08	2018-12-15 00:07:38	00	12	1	NA	248.96450805664	247.02732849121	248.28317260742	248.09166971842	430.30355834961	428.09228515625	430.72387695312	429.70657348633	0.37162062525749	0	0	NA	0.1238735417525	NA	NA	NA	49.977745056152	NA	NA	NA	1.315868973732	-0.046366710215807	-0.022520264610648	-0.0062116817571223	-0.075098656117916	NA	NA	NA	0.080063372850418	0.10977227240801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:07:40	663389	2474436623	4	NA
NA	CT08	2018-12-15 00:08:59	00	12	1	NA	249.05375671387	246.97964477539	248.31071472168	248.11470540365	430.30380249023	427.99536132812	430.94052124023	429.7465616862	0.361368060112	0	0	NA	0.12045602003733	NA	NA	NA	49.980236053467	NA	NA	NA	1.3001400232315	-0.047625958919525	-0.019597761332989	-0.0076006194576621	-0.074824340641499	NA	NA	NA	0.076366104185581	0.10691335052252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:09:00	663391	2474436623	4	NA
NA	CT08	2018-12-15 00:10:18	00	12	1	NA	249.80827331543	247.69255065918	248.98251342773	248.82777913411	431.61059570312	429.12112426758	432.212890625	430.98153686523	0.35734236240387	0	0	NA	0.11911412080129	NA	NA	NA	50.022476196289	NA	NA	NA	1.309807062149	-0.04579933360219	-0.020547842606902	-0.0067353807389736	-0.07308255136013	NA	NA	NA	0.076622664928436	0.10588716715574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:10:20	663393	2474436623	4	NA
NA	CT08	2018-12-15 00:11:39	00	12	1	NA	249.85305786133	247.70614624023	249.10833740234	248.8891805013	431.5505065918	429.19540405273	432.51776123047	431.087890625	0.3686289191246	0	0	NA	0.12287630637487	NA	NA	NA	50.047351837158	NA	NA	NA	1.3079600334167	-0.048650436103344	-0.01923893392086	-0.0070856250822544	-0.074974998831749	NA	NA	NA	0.078205555677414	0.10833909362555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:11:41	663394	2474436623	4	NA
NA	CT08	2018-12-15 00:12:59	00	12	1	NA	250.18336486816	247.830078125	249.3861541748	249.13319905599	431.94403076172	429.47073364258	433.1178894043	431.51088460286	0.36250904202461	0	0	NA	0.12083634734154	NA	NA	NA	50.060989379883	NA	NA	NA	1.3038520812988	-0.048186894506216	-0.018239689990878	-0.0080790398642421	-0.074505619704723	NA	NA	NA	0.076833434402943	0.10702552646399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-12-15 00:13:01	663396	2474436623	4	NA
