i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i47	i48	i49	i50	i51	i52	i53	i54
NA	2	CT08	01	2019-01-27 00:00:35	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:00:35	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:01:52	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:01:52	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:03:10	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:03:10	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:04:35	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:04:35	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:05:50	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:05:50	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:07:12	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:07:12	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:08:33	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:08:33	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:09:51	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:09:51	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:11:11	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:11:11	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:12:32	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:12:32	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:13:52	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:13:52	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:15:13	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:15:13	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	2	CT08	01	2019-01-27 00:16:31	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-27 00:16:31	155295235	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
